City;Percentage_Total;Latitude, Longitude;Latitude;Longitude
Abingdon;4.40%;(51.67109, -1.28278);51.67109;-1.28278
Alexandria;0.20%;(31.20176, 29.91582);31.20176;29.91582
Amsterdam;9.80%;(52.37403, 4.88969);52.37403;4.88969
Arlington;0.10%;(32.73569, -97.10807);32.73569;-97.10807
Basel;1.90%;(47.55839, 7.57327);47.55839;7.57327
Basingstoke;0.20%;(51.26249, -1.08708);51.26249;-1.08708
Beijing;0.30%;(39.9075, 116.39723);39.9075;116.39723
Berlin;1.70%;(52.52437, 13.41053);52.52437;13.41053
Bethesda;0.20%;(38.984653, -77.094711);38.984653;-77.094711
Bingley;1.10%;(53.84861, 1.83857);53.84861;1.83857
Briarcliff Manor;0.80%;(41.1402322, -73.840231);41.1402322;-73.840231
Bristol;0.20%;(51.45523, -2.59665);51.45523;-2.59665
Budapest;0.10%;(47.49835, 19.04045);47.49835;19.04045
Cambridge;1.10%;(52.2, 0.11667);52.2;0.11667
Cary;0.90%;(35.79154, -78.78112);35.79154;-78.78112
Catonsville;0.10%;(39.27205, -76.73192);39.27205;-76.73192
Cham;0.10%;(49.22565, 12.65501);49.22565;12.65501
Chicago;0.50%;(41.85003, -87.65005);41.85003;-87.65005
Chichester;0.10%;(50.83673, -0.78003);50.83673;-0.78003
Clare;0.40%;(52.83333 , 9.0);52.83333;9
Clayton;0.10%;(35.65071, -78.45639);35.65071;-78.45639
Cleveland;0.20%;(41.4995, -81.69541);41.4995;-81.69541
Dordrecht;2.50%;(51.81, 4.67361);51.81;4.67361
Elk Grove Village;0.30%;(42.00392, -87.97035);42.00392;-87.97035
Gottingen;0.10%;(51.53443, 9.93228);51.53443;9.93228
Guildford;0.10%;(51.23536, -0.57427);51.23536;-0.57427
Heidelberg;0.60%;(49.40768, 8.69079);49.40768;8.69079
Helsinki;0.10%;(60.16952, 24.93545);60.16952;24.93545
Hoboken;8.80%;(40.74399, -74.03236);40.74399;-74.03236
Hove;0.10%;(50.83088, -0.1672);50.83088;-0.1672
Isle of Harris;0.10%;(58.209435, -6.384869);58.209435;-6.384869
Issy-les-moulineaux;0.10%;(48.823898, 2.270000);48.823898;2.27
Lausanne;1.90%;(46.516, 6.63282);46.516;6.63282
London;11.00%;(42.98339, -81.23304);42.98339;-81.23304
Los angeles;0.30%;(-37.46973, -72.35366);-37.46973;-72.35366
Melville;0.10%;(40.79343, -73.41512);40.79343;-73.41512
Minneapolis;0.20%;(44.97997, -93.26384);44.97997;-93.26384
Munich;0.30%;(48.13743, 11.57549);48.13743;11.57549
Nashville;0.50%;(36.16589, -86.78444);36.16589;-86.78444
New York;7.30%;(40.71427, -74.00597);40.71427;-74.00597
Newbury pk;0.10%;(34.181129, -118.911079);34.181129;-118.911079
Ottawa;0.10%;(45.41117, -75.69812);45.41117;-75.69812
Oviedo;0.10%;(43.36029, -5.84476);43.36029;-5.84476
Oxford;13.80%;(51.75222, -1.25596);51.75222;-1.25596
Palo Alto;2.90%;(37.44188, -122.14302);37.44188;-122.14302
Paris;0.40%;(48.85341, 2.3488);48.85341;2.3488
Philadelphia;1.80%;(31.95522, 35.94503);31.95522;35.94503
Piscataway;0.60%;(40.49927, -74.39904);40.49927;-74.39904
Rio de Janeiro;0.10%;(-22.90642, -43.18223);-22.90642;-43.18223
San Diego;1.50%;(32.71571, -117.16472);32.71571;-117.16472
San Francisco;2.20%;(-31.42797, -62.08266);-31.42797;-62.08266
Seoul;0.10%;(37.566, 126.9784);37.566;126.9784
Singapore;0.10%;(1.28967, 103.85007);1.28967;103.85007
Stuttgart;0.10%;(48.78232, 9.17702);48.78232;9.17702
Taichung County;0.10%;(24.147736, 120.673645);24.147736;120.673645
Taipei;0.10%;(25.04776, 121.53185);25.04776;121.53185
Tampere;0.10%;(61.49911, 23.78712);61.49911;23.78712
Thousand oaks;5.70%;(34.170563, -118.837593);34.170563;-118.837593
Tokyo;0.20%;(35.6895, 139.69171);35.6895;139.69171
Toronto;0.60%;(43.70011, -79.4163);43.70011;-79.4163
Wageningen;0.10%;(51.97, 5.66667);51.97;5.66667
Washington;9.40%;(54.9, -1.51667);54.9;-1.51667
Wolfville;0.90%;(45.08345, 64.36546);45.08345;64.36546
